agent,seed,temperature,sigma,prevalence,morisita,recall,det_per_joule,precision,false_alarms,time_to_first_detection,coverage,episode_ece,kind
Lawnmower,0,1.0,1.0,0.06944444444444445,4.622222222222222,0.5799999999999998,0.030720338983050915,0.44867590742590735,7.4,53.75,0.7847222222222221,0.0710893376155893,clu
Lawnmower,1,1.0,1.0,0.1875,1.96011396011396,0.3055555555555555,0.04369703389830518,0.5410294403309109,6.9,1.95,0.7847222222222221,0.06608741624525304,clu
Lawnmower,2,1.0,1.0,0.11805555555555555,2.3529411764705883,0.42058823529411765,0.03787076271186449,0.5504726523476523,6.05,10.2,0.7847222222222221,0.07381876993353802,clu
Lawnmower,3,1.0,1.0,0.034722222222222224,4.8,0.53,0.014036016949152571,0.253257437007437,7.6,34.25,0.7847222222222221,0.07131554908427429,clu
Lawnmower,4,1.0,1.0,0.11805555555555555,2.588235294117647,0.5088235294117647,0.045815677966101795,0.5339314585483316,7.5,2.55,0.7847222222222221,0.0679643850895719,clu
GreedyEntropy,0,1.0,1.0,0.06944444444444445,4.622222222222222,0.34500000000000003,0.018267344827353753,0.20353922393396076,12.8,56.5,0.39583333333333337,0.06703831777988305,clu
GreedyEntropy,1,1.0,1.0,0.1875,1.96011396011396,0.35185185185185186,0.050277814560031255,0.41859503018033506,12.65,2.2,0.3822916666666667,0.07425124970770812,clu
GreedyEntropy,2,1.0,1.0,0.11805555555555555,2.3529411764705883,0.40588235294117647,0.036516677844402955,0.35618558333651207,12.25,15.8,0.3993055555555556,0.08392663387302647,clu
GreedyEntropy,3,1.0,1.0,0.034722222222222224,4.8,0.33999999999999997,0.00899138475890877,0.09827145442277022,15.6,55.85,0.37430555555555556,0.07407124704746051,clu
GreedyEntropy,4,1.0,1.0,0.11805555555555555,2.588235294117647,0.4647058823529412,0.04177939815173262,0.3646421478854175,12.85,2.9,0.3881944444444444,0.07243088070248296,clu
REINFORCE,1,1.0,1.0,0.1875,1.96011396011396,0.09999999999999999,0.01430472445323315,0.5160227272727272,2.1,25.85,0.06840277777777777,0.062487256201281004,clu
REINFORCE,2,1.0,1.0,0.11805555555555555,2.3529411764705883,0.058823529411764705,0.005294109931990312,0.30178571428571427,2.85,10.85,0.050694444444444445,0.058670912835885894,clu
REINFORCE,0,1.0,1.0,0.06944444444444445,4.622222222222222,0.2,0.010587754239568606,0.48892857142857143,2.1,16.25,0.11805555555555551,0.06130205719035908,clu
REINFORCE,4,1.0,1.0,0.11805555555555555,2.588235294117647,0.1411764705882353,0.012696506495195537,0.47244047619047624,2.2,11.25,0.05972222222222222,0.0823864132567065,clu
Lawnmower,0,1.0,1.6,0.0763888888888889,4.072727272727272,0.6227272727272727,0.03628177966101702,0.4937703229265014,7.25,39.8,0.7847222222222221,0.06893649218075817,clu
Lawnmower,1,1.0,1.6,0.2361111111111111,1.7397504456327986,0.44411764705882356,0.07997881355932221,0.7049675405695396,6.4,0.65,0.7847222222222221,0.06230182379333663,clu
Lawnmower,2,1.0,1.6,0.1597222222222222,1.3280632411067195,0.4434782608695652,0.05402542372881368,0.6428952456268548,5.9,6.75,0.7847222222222221,0.06886879097964313,clu
Lawnmower,3,1.0,1.6,0.2152777777777778,1.3419354838709678,0.546774193548387,0.08977754237288157,0.7449430752935806,6.0,0.65,0.7847222222222221,0.08009493151090616,clu
Lawnmower,4,1.0,1.6,0.1527777777777778,2.0086580086580086,0.4795454545454546,0.05587923728813571,0.5892661717797166,7.5,14.0,0.7847222222222221,0.06798777552368754,clu
GreedyEntropy,0,1.0,1.6,0.0763888888888889,4.072727272727272,0.2545454545454545,0.014829318521584483,0.171126320145283,13.15,56.6,0.38506944444444446,0.07084271950041908,clu
GreedyEntropy,1,1.0,1.6,0.2361111111111111,1.7397504456327986,0.44411764705882356,0.07986993567135667,0.5432223254967286,11.55,0.6,0.3892361111111111,0.07276042456867934,clu
GreedyEntropy,2,1.0,1.6,0.1597222222222222,1.3280632411067195,0.33478260869565224,0.040747030498009755,0.40440964094534565,11.2,13.85,0.3784722222222222,0.08368464773737862,clu
GreedyEntropy,3,1.0,1.6,0.2152777777777778,1.3419354838709678,0.4032258064516129,0.06605191842654726,0.48371006659113275,12.85,0.95,0.38472222222222224,0.07482338470338709,clu
GreedyEntropy,4,1.0,1.6,0.1527777777777778,2.0086580086580086,0.3568181818181818,0.04153087510841328,0.35184175508014526,13.25,5.5,0.38993055555555556,0.08114981644488747,clu
