agent,seed,temperature,sigma,prevalence,morisita,recall,det_per_joule,precision,false_alarms,time_to_first_detection,coverage,episode_ece,kind
Random,0,0.3,1.6,0.0763888888888889,4.072727272727272,0.27272727272727265,0.01587024821486482,0.2341683643154231,9.15,50.1,0.34965277777777776,0.1374941972741468,cal
Random,1,0.3,1.6,0.2361111111111111,1.7397504456327986,0.39411764705882346,0.07097202859602389,0.6587029034133973,6.5,0.2,0.353125,0.14886363206879827,cal
Random,2,0.3,1.6,0.1597222222222222,1.3280632411067195,0.30869565217391304,0.03759284864174765,0.49237964885991203,7.2,17.8,0.3527777777777778,0.13042617781037952,cal
Random,3,0.3,1.6,0.2152777777777778,1.3419354838709678,0.3516129032258064,0.057670790809992434,0.5905709154642389,7.3,0.35,0.34097222222222223,0.14367252368947217,cal
Random,4,0.3,1.6,0.1527777777777778,2.0086580086580086,0.38181818181818183,0.04447710884437646,0.5260996689499012,7.45,8.4,0.35798611111111117,0.14415838674178688,cal
Lawnmower,0,0.3,1.6,0.0763888888888889,4.072727272727272,0.7772727272727273,0.04528601694915264,0.38229259024027434,14.1,37.6,0.7847222222222221,0.13518995404872552,cal
Lawnmower,1,0.3,1.6,0.2361111111111111,1.7397504456327986,0.5367647058823529,0.09666313559322054,0.5965669549735783,12.65,0.45,0.7847222222222221,0.13839506040757166,cal
Lawnmower,2,0.3,1.6,0.1597222222222222,1.3280632411067195,0.5478260869565219,0.06673728813559335,0.5121429612025745,12.3,4.4,0.7847222222222221,0.12844596951202727,cal
Lawnmower,3,0.3,1.6,0.2152777777777778,1.3419354838709678,0.6709677419354839,0.11016949152542396,0.6307280933904649,12.35,0.35,0.7847222222222221,0.14522587367634632,cal
Lawnmower,4,0.3,1.6,0.1527777777777778,2.0086580086580086,0.6090909090909091,0.0709745762711866,0.4988441527457307,13.75,12.7,0.7847222222222221,0.13775104025331675,cal
GreedyEntropy,0,0.3,1.6,0.0763888888888889,4.072727272727272,0.509090909090909,0.029643654463793384,0.27639875092237054,13.5,40.1,0.5888888888888888,0.14259442014391385,cal
GreedyEntropy,1,0.3,1.6,0.2361111111111111,1.7397504456327986,0.611764705882353,0.11009054621238372,0.6471277829217696,11.3,0.4,0.5979166666666667,0.1384313964125782,cal
GreedyEntropy,2,0.3,1.6,0.1597222222222222,1.3280632411067195,0.5630434782608695,0.06856071506730574,0.5334840927130753,11.45,13.55,0.6006944444444444,0.13602021691587618,cal
GreedyEntropy,3,0.3,1.6,0.2152777777777778,1.3419354838709678,0.5999999999999999,0.09835004971952298,0.5895300941932617,12.8,0.45,0.5986111111111111,0.1422859490387276,cal
GreedyEntropy,4,0.3,1.6,0.1527777777777778,2.0086580086580086,0.5909090909090909,0.06882955618827669,0.49464654080742443,13.05,6.25,0.6038194444444445,0.14039862495998903,cal
REINFORCE,0,0.3,1.6,0.0763888888888889,4.072727272727272,0.6727272727272727,0.03916575149125394,0.3877072057274474,11.95,4.4,0.6451388888888889,0.14545376154143677,cal
REINFORCE,1,0.3,1.6,0.2361111111111111,1.7397504456327986,0.3235294117647059,0.05822661598348564,0.8618430509548929,1.75,0.4,0.15937500000000004,0.13838645727649465,cal
REINFORCE,2,0.3,1.6,0.1597222222222222,1.3280632411067195,0.1152173913043478,0.014033358901803161,0.5691017316017315,1.7,20.8,0.0732638888888889,0.12922356395794096,cal
REINFORCE,3,0.3,1.6,0.2152777777777778,1.3419354838709678,0.25161290322580643,0.04126793056131398,0.740863131966073,2.85,0.95,0.2048611111111111,0.13616054241282388,cal
Random,0,0.5,1.6,0.0763888888888889,4.072727272727272,0.2681818181818182,0.015605954924755824,0.2442040598290598,8.65,50.65,0.34965277777777776,0.10974460290554051,cal
Random,1,0.5,1.6,0.2361111111111111,1.7397504456327986,0.38088235294117645,0.06858636497461182,0.6689689587009213,6.05,0.25,0.353125,0.11900955499409929,cal
Random,2,0.5,1.6,0.1597222222222222,1.3280632411067195,0.30869565217391304,0.03759303713046926,0.5120577964347315,6.6,17.8,0.3527777777777778,0.10488273974017144,cal
Random,3,0.5,1.6,0.2152777777777778,1.3419354838709678,0.3451612903225806,0.056613614995994335,0.5936515838953078,6.9,1.0,0.34097222222222223,0.11057268938819347,cal
Random,4,0.5,1.6,0.1527777777777778,2.0086580086580086,0.37499999999999994,0.04368090411525144,0.5275593034416565,7.3,8.4,0.35798611111111117,0.11127977521850221,cal
Lawnmower,0,0.5,1.6,0.0763888888888889,4.072727272727272,0.7318181818181817,0.04263771186440687,0.4109816927039299,12.05,38.5,0.7847222222222221,0.107608368084479,cal
Lawnmower,1,0.5,1.6,0.2361111111111111,1.7397504456327986,0.5161764705882352,0.09295550847457648,0.6263352529447863,10.7,0.5,0.7847222222222221,0.10735562934629062,cal
Lawnmower,2,0.5,1.6,0.1597222222222222,1.3280632411067195,0.5108695652173914,0.062235169491525556,0.5424521342184385,10.15,5.6,0.7847222222222221,0.101648122852764,cal
Lawnmower,3,0.5,1.6,0.2152777777777778,1.3419354838709678,0.6370967741935484,0.10460805084745786,0.6573303287208525,10.5,0.4,0.7847222222222221,0.11195264727942397,cal
Lawnmower,4,0.5,1.6,0.1527777777777778,2.0086580086580086,0.5795454545454545,0.06753177966101712,0.5277182870268368,11.55,12.7,0.7847222222222221,0.10483785053905462,cal
GreedyEntropy,0,0.5,1.6,0.0763888888888889,4.072727272727272,0.45,0.026194447847155994,0.24243546484886172,13.05,47.85,0.5406249999999999,0.10982033947315537,cal
GreedyEntropy,1,0.5,1.6,0.2361111111111111,1.7397504456327986,0.5411764705882354,0.09735729524755567,0.6360025588764404,10.5,0.15,0.5378472222222223,0.11009863811049056,cal
GreedyEntropy,2,0.5,1.6,0.1597222222222222,1.3280632411067195,0.45869565217391306,0.05581090905503968,0.5074731199548811,10.3,9.5,0.5201388888888889,0.10341397229519474,cal
GreedyEntropy,3,0.5,1.6,0.2152777777777778,1.3419354838709678,0.5548387096774193,0.09103939804607651,0.6001021405194138,11.3,0.45,0.5350694444444446,0.10886270129145295,cal
GreedyEntropy,4,0.5,1.6,0.1527777777777778,2.0086580086580086,0.46363636363636357,0.053950535391814956,0.43384764129386966,12.4,8.9,0.5420138888888889,0.11266901298138805,cal
REINFORCE,4,0.3,1.6,0.1527777777777778,2.0086580086580086,0.19090909090909086,0.02229345221334718,0.8416666666666668,0.9,1.3,0.0625,0.14597443583797223,cal
REINFORCE,0,0.5,1.6,0.0763888888888889,4.072727272727272,0.36818181818181817,0.02145872069455077,0.785952380952381,1.45,6.3,0.11805555555555555,0.09876146767746385,cal
REINFORCE,1,0.5,1.6,0.2361111111111111,1.7397504456327986,0.2985294117647059,0.053799285469833445,0.7813719613719614,2.85,0.5,0.25243055555555555,0.09081542421050412,cal
REINFORCE,2,0.5,1.6,0.1597222222222222,1.3280632411067195,0.25869565217391305,0.03152668570937337,0.6309468589807464,3.85,2.6,0.25069444444444444,0.10037184012612695,cal
REINFORCE,3,0.5,1.6,0.2152777777777778,1.3419354838709678,0.4306451612903225,0.07060907975577245,0.8354197000208206,3.05,0.8,0.26944444444444443,0.10942614924046878,cal
REINFORCE,4,0.5,1.6,0.1527777777777778,2.0086580086580086,0.6204545454545454,0.07233508305517074,0.6916146415030855,6.7,1.25,0.48854166666666676,0.09726964105325968,cal
Random,0,1.0,1.6,0.0763888888888889,4.072727272727272,0.25909090909090904,0.015077536386603549,0.2426430513930514,8.75,50.75,0.34965277777777776,0.07180375813717625,cal
Random,1,1.0,1.6,0.2361111111111111,1.7397504456327986,0.3647058823529411,0.06567588161413138,0.6331423307309193,6.6,0.45,0.353125,0.07748960920343283,cal
Random,2,1.0,1.6,0.1597222222222222,1.3280632411067195,0.29130434782608694,0.035475059115716745,0.5005968214791745,6.45,18.2,0.3527777777777778,0.07852728982956889,cal
Random,3,1.0,1.6,0.2152777777777778,1.3419354838709678,0.3338709677419354,0.05476495959957064,0.5749338326100843,7.25,1.8,0.34097222222222223,0.070857670659541,cal
Random,4,1.0,1.6,0.1527777777777778,2.0086580086580086,0.35909090909090907,0.04182711031297912,0.5123245448651795,7.35,8.75,0.35798611111111117,0.07180648852715689,cal
Lawnmower,0,1.0,1.6,0.0763888888888889,4.072727272727272,0.6227272727272727,0.03628177966101702,0.4937703229265014,7.25,39.8,0.7847222222222221,0.06893649218075817,cal
Lawnmower,1,1.0,1.6,0.2361111111111111,1.7397504456327986,0.44411764705882356,0.07997881355932221,0.7049675405695396,6.4,0.65,0.7847222222222221,0.06230182379333663,cal
Lawnmower,2,1.0,1.6,0.1597222222222222,1.3280632411067195,0.4434782608695652,0.05402542372881368,0.6428952456268548,5.9,6.75,0.7847222222222221,0.06886879097964313,cal
Lawnmower,3,1.0,1.6,0.2152777777777778,1.3419354838709678,0.546774193548387,0.08977754237288157,0.7449430752935806,6.0,0.65,0.7847222222222221,0.08009493151090616,cal
Lawnmower,4,1.0,1.6,0.1527777777777778,2.0086580086580086,0.4795454545454546,0.05587923728813571,0.5892661717797166,7.5,14.0,0.7847222222222221,0.06798777552368754,cal
GreedyEntropy,0,1.0,1.6,0.0763888888888889,4.072727272727272,0.2545454545454545,0.014829318521584483,0.171126320145283,13.15,56.6,0.38506944444444446,0.07084271950041908,cal
GreedyEntropy,1,1.0,1.6,0.2361111111111111,1.7397504456327986,0.44411764705882356,0.07986993567135667,0.5432223254967286,11.55,0.6,0.3892361111111111,0.07276042456867934,cal
GreedyEntropy,2,1.0,1.6,0.1597222222222222,1.3280632411067195,0.33478260869565224,0.040747030498009755,0.40440964094534565,11.2,13.85,0.3784722222222222,0.08368464773737862,cal
GreedyEntropy,3,1.0,1.6,0.2152777777777778,1.3419354838709678,0.4032258064516129,0.06605191842654726,0.48371006659113275,12.85,0.95,0.38472222222222224,0.07482338470338709,cal
GreedyEntropy,4,1.0,1.6,0.1527777777777778,2.0086580086580086,0.3568181818181818,0.04153087510841328,0.35184175508014526,13.25,5.5,0.38993055555555556,0.08114981644488747,cal
REINFORCE,1,1.0,1.6,0.2361111111111111,1.7397504456327986,0.31617647058823534,0.056976143275847546,0.7947855434039643,2.75,0.55,0.19618055555555555,0.07214877235402092,cal
REINFORCE,2,1.0,1.6,0.1597222222222222,1.3280632411067195,0.23043478260869565,0.028033755882400296,0.4977346428081722,4.7,34.2,0.26736111111111105,0.062488642199623814,cal
REINFORCE,0,1.0,1.6,0.0763888888888889,4.072727272727272,0.2954545454545454,0.017213210144717963,0.8016666666666665,0.75,12.55,0.06388888888888888,0.05973097074062245,cal
REINFORCE,3,1.0,1.6,0.2152777777777778,1.3419354838709678,0.27258064516129027,0.044732440501677934,0.6466312853812852,4.45,1.5,0.28125,0.07645413037122215,cal
Random,0,2.0,1.6,0.0763888888888889,4.072727272727272,0.23181818181818184,0.01349225417254243,0.1797888772733974,12.1,52.95,0.34965277777777776,0.12847193335002685,cal
